"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","493","API: Update Existing Claim (PUT) successfully","","2026-08-21","passed","2026-08-21","","com.demo.taf.api.ClaimNotificationApiTest","com.demo.taf.api.ClaimNotificationApiTest","testUpdateClaimStatus"
"","16","Data Pipeline Negative: Reject invalid data type mapping","","2026-08-21","passed","2026-08-21","","com.demo.taf.data.BorderauIngestionTest","com.demo.taf.data.BorderauIngestionTest","testDatabaseRejectsInvalidData"
"","5007","UI Negative: Login with invalid password displays site error message","","2026-08-21","passed","2026-08-21","","com.demo.taf.ui.PortalLoginTest","com.demo.taf.ui.PortalLoginTest","testInvalidPasswordDisplaysError"
"","3","testBorderauIngestion(BorderauRecord) Data Pipeline: Ingest BorderauRecord[claimId=CLM-2026-Z77, cedentName=Swiss Re, treatyRef=TREATY-SWI-26, reserveAmount=50000.75, status=PENDING] for {1}","","2026-08-21","passed","2026-08-21","","com.demo.taf.data.BorderauIngestionTest","com.demo.taf.data.BorderauIngestionTest","testBorderauIngestion"
"","54","testBorderauIngestion(BorderauRecord) Data Pipeline: Ingest BorderauRecord[claimId=CLM-2026-X99, cedentName=Allianz Global, treatyRef=TREATY-ALL-26, reserveAmount=250000.5, status=OPEN] for {1}","","2026-08-21","passed","2026-08-21","","com.demo.taf.data.BorderauIngestionTest","com.demo.taf.data.BorderauIngestionTest","testBorderauIngestion"
"","490","API: Submit First Notice of Loss (FNOL) successfully","","2026-08-21","passed","2026-08-21","","com.demo.taf.api.ClaimNotificationApiTest","com.demo.taf.api.ClaimNotificationApiTest","testSubmitFnolClaim"
"","5263","UI: User can successfully search for products","","2026-08-21","passed","2026-08-21","","com.demo.taf.ui.SearchProductsTest","com.demo.taf.ui.SearchProductsTest","testProductSearch"
"","301","API: Retrieve Existing Claim (GET) successfully","","2026-08-21","passed","2026-08-21","","com.demo.taf.api.ClaimNotificationApiTest","com.demo.taf.api.ClaimNotificationApiTest","testGetClaimDetails"
"","4","testBorderauIngestion(BorderauRecord) Data Pipeline: Ingest BorderauRecord[claimId=CLM-2026-Y88, cedentName=Munich Re, treatyRef=TREATY-MUN-26, reserveAmount=150000.0, status=CLOSED] for {1}","","2026-08-21","passed","2026-08-21","","com.demo.taf.data.BorderauIngestionTest","com.demo.taf.data.BorderauIngestionTest","testBorderauIngestion"
"","488","API: Delete Processed Claim (DELETE) successfully","","2026-08-21","passed","2026-08-21","","com.demo.taf.api.ClaimNotificationApiTest","com.demo.taf.api.ClaimNotificationApiTest","testDeleteClaim"
"","4876","UI Negative: Empty fields block login submission","","2026-08-21","passed","2026-08-21","","com.demo.taf.ui.PortalLoginTest","com.demo.taf.ui.PortalLoginTest","testEmptyLoginBlocked"
"","5","Data Pipeline: Update existing Reserve Amount (UPDATE)","","2026-08-21","passed","2026-08-21","","com.demo.taf.data.BorderauIngestionTest","com.demo.taf.data.BorderauIngestionTest","testUpdateReserveAmount"
"","4877","UI: Default Products page loads a full catalog","","2026-08-21","passed","2026-08-21","","com.demo.taf.ui.SearchProductsTest","com.demo.taf.ui.SearchProductsTest","testDefaultProductsLoad"
"","6922","UI: User can navigate to a specific Product Details page","","2026-08-21","passed","2026-08-21","","com.demo.taf.ui.SearchProductsTest","com.demo.taf.ui.SearchProductsTest","testNavigateToProductDetails"
"","344","API Negative: Fetch Non-Existent Claim (GET) should return 404","","2026-08-21","passed","2026-08-21","","com.demo.taf.api.ClaimNotificationApiTest","com.demo.taf.api.ClaimNotificationApiTest","testFetchNonExistentClaim"
